Frequency,Real part,Imaginary part,Magnitude,Angle
+6.030273E+04,-1.172472E-04,-8.010171E-06,-7.859772E+01,-3.073380E+00
+6.054688E+04,+1.160300E-04,+1.654495E-05,-7.862118E+01,+1.416372E-01
+6.079102E+04,-1.565057E-04,-3.501911E-05,-7.589722E+01,-2.921463E+00
+6.103516E+04,+2.001199E-04,-2.613771E-05,-7.390073E+01,-1.298751E-01
+6.127930E+04,-1.497044E-04,-2.066909E-05,-7.641330E+01,-3.004394E+00
+6.152344E+04,+6.639290E-05,+1.539958E-04,-7.550943E+01,+1.163741E+00
+6.176758E+04,+1.501309E-05,-3.055414E-04,-7.028812E+01,-1.521700E+00
+6.201172E+04,-5.689661E-05,+2.468799E-04,-7.192554E+01,+1.797304E+00
+6.225586E+04,+1.087231E-04,-6.104309E-05,-7.808354E+01,-5.115950E-01
+6.250000E+04,-2.487911E-04,-1.471358E-05,-7.206814E+01,-3.082521E+00
+6.274414E+04,+3.205942E-04,+2.795268E-05,-6.984799E+01,+8.697027E-02
+6.298828E+04,-2.773202E-04,-4.984453E-05,-7.100229E+01,-2.963755E+00
+6.323242E+04,+2.552959E-04,+1.419089E-04,-7.068979E+01,+5.073316E-01
+6.347656E+04,-2.388741E-04,-1.611723E-04,-7.080727E+01,-2.548038E+00
+6.372070E+04,+1.208454E-04,+9.878431E-05,-7.613288E+01,+6.852873E-01
+6.396484E+04,+2.802757E-05,-2.848761E-05,-8.796671E+01,-7.935382E-01
+6.420898E+04,-1.901179E-04,-7.831200E-05,-7.373890E+01,-2.750859E+00
+6.445312E+04,+3.712177E-04,+1.618490E-04,-6.785162E+01,+4.111464E-01
+6.469727E+04,-3.609081E-04,-1.511002E-04,-6.815065E+01,-2.745099E+00
+6.494141E+04,+2.230859E-04,+8.280990E-05,-7.246993E+01,+3.554367E-01
+6.518555E+04,+1.104081E-05,+1.127544E-05,-9.603740E+01,+7.959114E-01
+6.542969E+04,-2.509568E-04,-1.575022E-04,-7.056573E+01,-2.581121E+00
+6.567383E+04,+1.726446E-04,+1.947817E-04,-7.169116E+01,+8.455744E-01
+6.591797E+04,-6.966169E-05,-8.232888E-05,-7.934390E+01,-2.273045E+00
+6.616211E+04,+1.761490E-05,-4.206094E-05,-8.682060E+01,-1.174193E+00
+6.640625E+04,+4.216009E-05,+1.492406E-04,-7.618880E+01,+1.295473E+00
+6.665039E+04,-1.263075E-05,-6.993127E-05,-8.296716E+01,-1.749486E+00
+6.689453E+04,+8.820608E-05,-4.219449E-05,-8.019511E+01,-4.461884E-01
+6.713867E+04,-9.955592E-05,-9.192918E-06,-8.000179E+01,-3.049515E+00
+6.738281E+04,-4.256997E-05,-3.351840E-05,-8.532291E+01,-2.474599E+00
+6.762695E+04,+9.327968E-05,+3.101440E-05,-8.014889E+01,+3.209898E-01
+6.787109E+04,-8.246744E-05,+7.325366E-05,-7.914817E+01,+2.415294E+00
+6.811523E+04,+1.388012E-04,+1.098631E-05,-7.712502E+01,+7.898674E-02
+6.835938E+04,-2.016591E-04,-5.794649E-05,-7.356309E+01,-2.861783E+00
+6.860352E+04,+2.391656E-04,+6.423102E-06,-7.242290E+01,+2.684984E-02
